stage,case_id,base_mechanism,initial_microstructure_mode,G0_mean_nm,rho0,topology,pore_ln_sigma,large_pore_tail_fraction,large_pore_radius_factor,bimodal_fine_fraction,G0_ln_sigma,coarse_grain_tail_fraction,coarse_grain_radius_factor,pore_location_bias,grain_pore_correlation,residual_stress_mode,sigma_res_scale,stress_sign,rate,peak_T_C,hold_h,both_paths_attained,max_ratio,median_ratio,meaningful_span,meaningful,strong,tail_only,classification,disabled_recovery
initial_distribution,A000,mech_009,baseline_narrow,75,0.65,baseline,0.35,0,2,0.5,0,0,2,baseline,none,disabled,0.0,mixed,20,1350,0,False,nan,nan,0.0,False,False,False,unattainable,True
initial_distribution,A001,mech_019,broad_pore_distribution,150,0.65,baseline,0.65,0.02,2,0.7,0.25,0.05,4,GBseg_fine_rich,large_pores_on_large_grains,disabled,0.0,mixed,100,1400,0,False,nan,nan,0.0,False,False,False,unattainable,False
initial_distribution,A002,mech_009_q0,large_pore_tail,225,0.65,GBseg_rich,0.95,0.05,4,0.9,0.5,0.1,8,TJ_large_rich,large_pores_on_small_grains,disabled,0.0,mixed,20,1450,0,False,nan,nan,0.0,False,False,False,unattainable,False
initial_distribution,A003,mech_019_q0,bimodal_pore_distribution,75,0.7,GBseg_rich,1.2,0.1,4,0.5,0.75,0.2,2,isolated_large_rich,TJ_pores_on_small_grains,disabled,0.0,mixed,100,1500,0,False,nan,nan,0.0,False,False,False,unattainable,False
initial_distribution,A004,mech_009,broad_grain_distribution,150,0.7,TJ_rich,0.35,0.2,8,0.7,0,0,4,mixed,isolated_pores_on_large_grains,disabled,0.0,mixed,20,1350,2,False,nan,nan,0.0,False,False,False,unattainable,False
initial_distribution,A005,mech_019,correlated_pore_grain_distribution,225,0.7,TJ_rich,0.65,0,8,0.9,0.25,0.05,8,baseline,none,disabled,0.0,mixed,100,1400,2,False,nan,nan,0.0,False,False,False,unattainable,False
initial_distribution,A006,mech_009_q0,defect_rich_large_pore,75,0.75,mixed_GBseg_TJ,0.95,0.02,12,0.5,0.5,0.1,2,GBseg_fine_rich,large_pores_on_large_grains,disabled,0.0,mixed,20,1450,2,False,1.0288910940324658,1.0233466081822766,0.0,False,False,False,negligible,False
initial_distribution,A007,mech_019_q0,baseline_narrow,150,0.75,mixed_GBseg_TJ,1.2,0.05,12,0.7,0.75,0.2,4,TJ_large_rich,large_pores_on_small_grains,disabled,0.0,mixed,100,1500,2,False,0.9473482812178067,0.9448016067243088,0.0,False,False,False,negligible,True
initial_distribution,A008,mech_009,broad_pore_distribution,225,0.75,baseline,0.35,0.1,2,0.9,0,0,8,isolated_large_rich,TJ_pores_on_small_grains,disabled,0.0,mixed,20,1350,8,False,nan,nan,0.0,False,False,False,unattainable,False
initial_distribution,A009,mech_019,large_pore_tail,75,0.65,baseline,0.65,0.2,2,0.5,0.25,0.05,2,mixed,isolated_pores_on_large_grains,disabled,0.0,mixed,100,1400,8,False,nan,nan,0.0,False,False,False,unattainable,False
